#: table_doi: 10.17182/hepdata.44043.v1/t6
#: name: Table 6
#: description: Measurement of the cos(delta) parameter as a function of Q**2, W and T obtained under the NPE and SCHC approximation from fits to the (cos(theta),chi) distribution.

#: data_file: Table6.yaml
#: keyword reactions: E+ P --> E+ RHO0 P
#: keyword observables: COSDELTA
#: keyword phrases: Exclusive | Electron production
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],,,,,,,27.5
#: E(P=2) [GeV],,,,,,,820.0
#: RE,,,,,,,E+ P --> E+ RHO0 P
#: SQRT(S) [GeV],,,,,,,300.0
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,W [GEV],W [GEV] LOW,W [GEV] HIGH,ABS(T) [GEV**2],ABS(T) [GEV**2] LOW,ABS(T) [GEV**2] HIGH,COS(DELTA),stat +,stat -,sys +,sys -
3.0,2.5,3.5,65.0,30.0,100.0,0.25,0.0,0.5,0.867,0.051,-0.051,0.007,-0.019
4.75,3.5,6.0,75.0,30.0,120.0,0.25,0.0,0.5,0.841,0.056,-0.056,0.02,-0.003
33.0,6.0,60.0,85.0,30.0,140.0,0.25,0.0,0.5,0.964,0.071,-0.071,0.012,-0.012
31.25,2.5,60.0,50.0,40.0,60.0,0.25,0.0,0.5,0.922,0.053,-0.053,0.02,-0.019
31.25,2.5,60.0,70.0,60.0,80.0,0.25,0.0,0.5,0.903,0.064,-0.064,0.022,-0.028
31.25,2.5,60.0,90.0,80.0,100.0,0.25,0.0,0.5,0.69,0.101,-0.101,0.035,-0.046
31.25,2.5,60.0,85.0,30.0,140.0,0.05,0.0,0.1,0.915,0.039,-0.039,0.011,-0.011
31.25,2.5,60.0,85.0,30.0,140.0,0.15000000000000002,0.1,0.2,0.904,0.063,-0.063,0.041,-0.059
31.25,2.5,60.0,85.0,30.0,140.0,0.35,0.2,0.5,0.868,0.06,-0.06,0.053,-0.006

