#: table_doi: 10.17182/hepdata.44043.v1/t9
#: name: Table 9
#: description: Exclusive photoproduction cross section for RHO production.

#: data_file: Table9.yaml
#: keyword reactions: GAMMA P --> RHO0 P | GAMMA* P --> RHO0 P
#: keyword observables: SIG
#: keyword phrases: Exclusive | Integrated Cross Section | Cross Section | Photoproduction
#: keyword cmenergies: 0.0
#: M(P=1_2) [GeV],75.0
#: RE,GAMMA* P --> RHO0 P
#: SQRT(S) [GeV],0.0
Q**2 [GEV**2],SIG [NB],stat +,stat -,sys +,sys -
1.1,2129.0,369.0,-369.0,275.0,-275.0
1.4,1610.0,194.0,-194.0,207.0,-207.0
1.7,1185.0,155.0,-155.0,153.0,-153.0
2.3,681.0,83.0,-83.0,88.0,-88.0
2.7,432.0,39.0,-39.0,46.0,-31.0
3.0,399.0,34.0,-34.0,42.0,-31.0
3.3,314.0,29.0,-29.0,41.0,-32.0
3.8,261.0,24.0,-24.0,27.0,-24.0
4.2,206.0,20.0,-20.0,23.0,-24.0
4.7,157.0,17.0,-17.0,14.0,-17.0
5.3,120.0,14.0,-14.0,14.0,-17.0
6.0,106.0,13.0,-13.0,9.0,-9.0
6.7,79.0,10.0,-10.0,11.0,-7.0
7.5,81.0,10.0,-10.0,7.0,-11.0
8.4,50.7,7.3,-7.3,4.4,-3.7
9.4,47.7,6.7,-6.7,4.0,-4.9
10.9,27.5,4.1,-4.1,2.5,-2.5
13.0,19.9,3.1,-3.1,1.6,-1.6
15.4,17.7,3.3,-3.3,1.9,-1.7
18.3,11.6,2.7,-2.7,1.3,-1.3
22.8,6.0,1.5,-1.5,0.8,-0.6
35.0,1.6,0.5,-0.5,0.2,-0.2

