W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
1.735,-0.45,-0.41832744,1.723,0.102,12.77804583,0.756448447,CLAS omega
1.735,-0.35,-0.404843375,1.55,0.087,11.49504993,0.645206028,CLAS omega
1.735,-0.25,-0.39135931,1.621,0.088,12.02159738,0.65262219,CLAS omega
1.735,-0.15,-0.377875245,1.683,0.09,12.48139938,0.667454512,CLAS omega
1.735,-0.05,-0.36439118,1.793,0.095,13.29717712,0.704535318,CLAS omega
1.735,0.05,-0.350907115,1.95,0.103,14.46151443,0.763864608,CLAS omega
1.735,0.15,-0.33742305,1.964,0.103,14.56534069,0.763864608,CLAS omega
1.735,0.25,-0.323938985,2.122,0.112,15.73709417,0.83061006,CLAS omega
1.735,0.35,-0.31045492,2.213,0.117,16.41196484,0.867690866,CLAS omega
1.735,0.45,-0.296970855,2.228,0.118,16.52320726,0.875107027,CLAS omega
1.735,0.55,-0.28348679,2.355,0.126,17.46505974,0.934436317,CLAS omega
1.735,0.65,-0.270002725,2.332,0.128,17.29448803,0.94926864,CLAS omega
1.735,0.75,-0.25651866,2.708,0.156,20.08296466,1.156921154,CLAS omega
1.725,-0.45,-0.373069459,1.707,0.126,23.80757024,1.757325044,CLAS omega
1.725,-0.35,-0.365899471,1.665,0.116,23.22179523,1.617854803,CLAS omega
1.725,-0.25,-0.358729482,1.594,0.105,22.23155651,1.464437537,CLAS omega
1.725,-0.15,-0.351559494,1.528,0.099,21.31105292,1.380755392,CLAS omega
1.725,-0.05,-0.344389506,1.414,0.09,19.72109216,1.255232174,CLAS omega
1.725,0.05,-0.337219517,1.567,0.097,21.85498686,1.352861344,CLAS omega
1.725,0.15,-0.330049529,1.558,0.096,21.72946364,1.338914319,CLAS omega
1.725,0.25,-0.322879541,1.62,0.1,22.59417914,1.394702416,CLAS omega
1.725,0.35,-0.315709553,1.547,0.096,21.57604638,1.338914319,CLAS omega
1.725,0.45,-0.308539564,1.678,0.106,23.40310654,1.478384561,CLAS omega
1.725,0.55,-0.301369576,1.599,0.106,22.30129163,1.478384561,CLAS omega
1.725,0.65,-0.294199588,1.682,0.115,23.45889464,1.603907778,CLAS omega
1.725,0.75,-0.287029599,2.003,0.146,27.93588939,2.036265527,CLAS omega
1.745,-0.45,-0.454910511,2.438,0.127,13.66099771,0.711627034,CLAS omega
1.745,-0.35,-0.437064084,2.411,0.124,13.50970692,0.694816947,CLAS omega
1.745,-0.25,-0.419217657,2.562,0.131,14.35581465,0.734040484,CLAS omega
1.745,-0.15,-0.40137123,2.531,0.129,14.18211042,0.722833759,CLAS omega
1.745,-0.05,-0.383524803,2.69,0.137,15.07304505,0.767660659,CLAS omega
1.745,0.05,-0.365678376,2.778,0.142,15.56614095,0.795677471,CLAS omega
1.745,0.15,-0.347831948,2.703,0.138,15.14588876,0.773264021,CLAS omega
1.745,0.25,-0.329985521,2.76,0.141,15.46528042,0.790074109,CLAS omega
1.745,0.35,-0.312139094,3.002,0.153,16.82129414,0.857314458,CLAS omega
1.745,0.45,-0.294292667,2.913,0.149,16.32259488,0.834901008,CLAS omega
1.745,0.55,-0.27644624,3.161,0.162,17.71222878,0.907744721,CLAS omega
