W,cos th,t,dsigdcosth (mu barn),dsigdcosth error (mu barn),dsigdt (mu barn/GeV^2),dsigdt error (mu barn/GeV^2),source
2.305,0.35,-0.977192476,0.8471,0.0183,0.575829832,0.012439719,CLAS omega
2.305,0.45,-0.830083043,1.074,0.021,0.730068752,0.014275087,CLAS omega
2.305,0.55,-0.68297361,1.667,0.028,1.133170027,0.01903345,CLAS omega
2.305,0.65,-0.535864177,2.394,0.032,1.627359956,0.021752514,CLAS omega
2.305,0.75,-0.388754744,4.133,0.044,2.80947314,0.029909707,CLAS omega
2.305,0.85,-0.241645312,9.279,0.091,6.307549301,0.061858712,CLAS omega
2.305,0.91,-0.153379652,16.6,0.606,11.28411665,0.411938234,CLAS omega
2.315,0.35,-0.991907795,0.752,0.0171,0.503176954,0.011441923,CLAS omega
2.315,0.45,-0.842457389,1.031,0.021,0.689860957,0.014051484,CLAS omega
2.315,0.55,-0.693006984,1.454,0.025,0.972897994,0.016727957,CLAS omega
2.315,0.65,-0.543556578,2.115,0.03,1.415185184,0.020073549,CLAS omega
2.315,0.75,-0.394106172,4.043,0.044,2.705245248,0.029441205,CLAS omega
2.315,0.85,-0.244655766,9.343,0.097,6.251572188,0.064904474,CLAS omega
2.315,0.91,-0.154985523,16.83,0.595,11.26126083,0.398125383,CLAS omega
2.325,0.45,-0.854895386,0.9971,0.0201,0.656851103,0.013241106,CLAS omega
2.325,0.55,-0.703095382,1.438,0.025,0.947299054,0.016469038,CLAS omega
2.325,0.65,-0.551295378,2.165,0.03,1.426218673,0.019762845,CLAS omega
2.325,0.75,-0.399495374,3.91,0.042,2.575757511,0.027667983,CLAS omega
2.325,0.85,-0.24769537,9.019,0.094,5.941370074,0.061923582,CLAS omega
2.325,0.91,-0.156615368,19.62,0.679,12.92490086,0.447299066,CLAS omega
2.335,0.45,-0.867396702,1.015,0.021,0.658414149,0.013622362,CLAS omega
2.335,0.55,-0.71323841,1.393,0.026,0.903616659,0.016865781,CLAS omega
2.335,0.65,-0.559080119,2.125,0.031,1.378453267,0.020109201,CLAS omega
2.335,0.75,-0.404921828,3.891,0.045,2.524029017,0.029190775,CLAS omega
2.335,0.85,-0.250763537,8.813,0.1,5.716851126,0.064868389,CLAS omega
2.335,0.91,-0.158268563,15.48,0.515,10.04162662,0.334072204,CLAS omega
2.345,0.45,-0.879961023,0.9405,0.0196,0.600861223,0.012521935,CLAS omega
2.345,0.55,-0.723435695,1.24,0.023,0.792204058,0.014694108,CLAS omega
2.345,0.65,-0.566910367,2.003,0.028,1.279665103,0.017888479,CLAS omega
2.345,0.75,-0.410385039,3.541,0.041,2.262253684,0.026193844,CLAS omega
2.345,0.85,-0.253859711,8.78,0.093,5.609315828,0.059415304,CLAS omega
2.345,0.91,-0.159944514,13.64,0.456,8.714244636,0.291326654,CLAS omega
2.355,0.45,-0.892588053,0.9876,0.0197,0.621518387,0.012397643,CLAS omega
2.355,0.55,-0.733686882,1.361,0.024,0.856507214,0.015103728,CLAS omega
2.355,0.65,-0.57478571,2.198,0.03,1.383249711,0.018879659,CLAS omega
2.355,0.75,-0.415884538,3.929,0.042,2.472606058,0.026431523,CLAS omega
2.355,0.85,-0.256983366,8.863,0.089,5.577680705,0.056009656,CLAS omega
2.355,0.91,-0.161642663,13.67,0.417,8.602831462,0.262427266,CLAS omega
2.365,0.45,-0.905277509,0.9403,0.0201,0.583002071,0.012462344,CLAS omega
2.365,0.55,-0.743991632,1.319,0.025,0.817802543,0.015500427,CLAS omega
2.365,0.65,-0.582705755,2.045,0.03,1.267934951,0.018600513,CLAS omega
2.365,0.75,-0.421419879,3.603,0.042,2.233921579,0.026040718,CLAS omega
2.365,0.85,-0.260134002,9.275,0.1,5.750658519,0.062001709,CLAS omega
2.365,0.91,-0.163362476,15.99,0.496,9.914073285,0.307528477,CLAS omega
2.375,0.45,-0.91802912,0.9443,0.0195,0.576920162,0.011913527,CLAS omega
2.375,0.55,-0.754349626,1.315,0.024,0.803399358,0.014662802,CLAS omega
2.375,0.65,-0.590670133,2.125,0.03,1.298268924,0.018328502,CLAS omega
2.375,0.75,-0.426990639,3.62,0.042,2.211639297,0.025659903,CLAS omega
2.375,0.85,-0.263311146,8.293,0.087,5.06660903,0.053152657,CLAS omega
2.375,0.91,-0.165103449,16.94,0.516,10.34949439,0.315250242,CLAS omega
2.385,0.45,-0.930842631,0.8238,0.0183,0.496019825,0.011018649,CLAS omega
2.385,0.55,-0.764760559,1.118,0.022,0.673161161,0.013246463,CLAS omega
2.385,0.65,-0.598678488,1.734,0.027,1.044062123,0.016257023,CLAS omega
2.385,0.75,-0.432596417,3.073,0.037,1.850290026,0.022278142,CLAS omega
2.385,0.85,-0.266514345,7.381,0.085,4.444188311,0.051179516,CLAS omega
2.385,0.91,-0.166865103,15.58,0.489,9.380904199,0.294432744,CLAS omega
2.395,0.45,-0.943717797,0.8212,0.0188,0.487377401,0.01115769,CLAS omega
2.395,0.55,-0.775224141,1.092,0.023,0.648095618,0.013650366,CLAS omega
2.395,0.65,-0.606730486,1.638,0.028,0.972143427,0.016617836,CLAS omega
2.395,0.75,-0.43823683,3.033,0.04,1.800067774,0.023739766,CLAS omega
2.395,0.85,-0.269743174,7.108,0.088,4.218556458,0.052227486,CLAS omega
2.405,0.45,-0.956654387,0.7648,0.0179,0.447475747,0.010473086,CLAS omega
2.405,0.55,-0.785740096,1.069,0.023,0.625459694,0.013457037,CLAS omega
2.405,0.65,-0.614825805,1.652,0.028,0.966566337,0.01638248,CLAS omega
2.405,0.75,-0.443911514,3.015,0.041,1.764042074,0.023988632,CLAS omega
2.405,0.85,-0.272997223,7.058,0.091,4.12955521,0.053243061,CLAS omega
2.405,0.92,-0.15335722,23.97,3.931,14.0245733,2.299983215,CLAS omega
2.415,0.45,-0.969652177,0.7451,0.0173,0.429838889,0.009980154,CLAS omega
2.415,0.55,-0.79630816,1.034,0.022,0.596501693,0.012691525,CLAS omega
2.415,0.65,-0.622964142,1.589,0.026,0.916674266,0.014999075,CLAS omega
2.415,0.75,-0.449620124,2.889,0.038,1.666628039,0.021921726,CLAS omega
2.415,0.85,-0.276276107,7.433,0.096,4.288004919,0.055381202,CLAS omega
2.415,0.92,-0.154935295,54.56,7.676,31.47498296,4.428188586,CLAS omega
2.425,0.45,-0.982710957,0.7623,0.0171,0.43365999,0.00972791,CLAS omega
2.425,0.55,-0.806928081,1.042,0.021,0.592776741,0.011946556,CLAS omega
2.425,0.65,-0.631145206,1.657,0.027,0.942640172,0.015359858,CLAS omega
2.425,0.75,-0.455362331,2.926,0.039,1.664553496,0.022186462,CLAS omega
2.425,0.85,-0.279579455,7.142,0.087,4.062966873,0.049492876,CLAS omega
2.425,0.92,-0.156531442,37.88,4.481,21.54931184,2.549167538,CLAS omega
2.435,0.45,-0.995830524,0.7201,0.0169,0.404026458,0.009482082,CLAS omega
2.435,0.55,-0.817599622,1.044,0.022,0.585757009,0.012343539,CLAS omega
2.435,0.65,-0.63936872,1.563,0.026,0.876952304,0.014587818,CLAS omega
2.435,0.75,-0.461137818,2.909,0.039,1.632152432,0.021881727,CLAS omega
2.435,0.85,-0.282906916,7.01,0.087,3.933100223,0.048813084,CLAS omega
2.435,0.92,-0.158145285,23.18,1.71,13.00560102,0.959429584,CLAS omega
2.445,0.55,-0.828322553,1.031,0.021,0.570596412,0.011622235,CLAS omega
2.445,0.65,-0.647634421,1.543,0.026,0.853957579,0.014389434,CLAS omega
2.445,0.75,-0.466946288,2.861,0.038,1.583391208,0.021030712,CLAS omega
2.445,0.85,-0.286258156,7.637,0.094,4.226619592,0.052023339,CLAS omega
2.445,0.92,-0.159776463,13.64,0.583,7.548918585,0.322655391,CLAS omega
2.455,0.55,-0.839096655,0.9728,0.0198,0.53113599,0.010810539,CLAS omega
2.455,0.65,-0.655942055,1.419,0.024,0.774755314,0.013103684,CLAS omega
2.455,0.75,-0.472787455,2.659,0.036,1.451778986,0.019655526,CLAS omega
2.455,0.85,-0.289632854,6.873,0.088,3.752567495,0.048046841,CLAS omega
2.455,0.92,-0.161424634,18.13,0.852,9.89874126,0.465180781,CLAS omega
2.465,0.55,-0.849921721,0.9476,0.0215,0.510476902,0.011582158,CLAS omega
2.465,0.65,-0.664291383,1.336,0.025,0.719709942,0.013467626,CLAS omega
2.465,0.75,-0.478661044,2.572,0.038,1.385549379,0.020470792,CLAS omega
2.465,0.85,-0.293030706,6.37,0.088,3.431551144,0.047406044,CLAS omega
2.465,0.92,-0.163089469,14.7,0.671,7.918964178,0.361471086,CLAS omega
2.475,0.55,-0.86079755,0.8428,0.019,0.448022918,0.010100184,CLAS omega
2.475,0.65,-0.672682173,1.242,0.023,0.660233109,0.012226539,CLAS omega
2.475,0.75,-0.484566797,2.507,0.036,1.332692757,0.019137192,CLAS omega
2.475,0.85,-0.29645142,6.406,0.086,3.40535692,0.045716624,CLAS omega
2.475,0.92,-0.164770656,12.38,0.47,6.581067542,0.249846668,CLAS omega
2.485,0.55,-0.871723952,0.8279,0.0185,0.434342957,0.009705695,CLAS omega
2.485,0.65,-0.681114208,1.295,0.023,0.679398633,0.012066539,CLAS omega
2.485,0.75,-0.490504463,2.6,0.039,1.364043588,0.020460654,CLAS omega
2.485,0.85,-0.299894719,6.434,0.089,3.375483249,0.046692261,CLAS omega
2.485,0.92,-0.166467897,12.9,0.435,6.767754728,0.228214985,CLAS omega
2.495,0.55,-0.882700745,0.8565,0.0194,0.443521626,0.010045907,CLAS omega
2.495,0.65,-0.689587275,1.238,0.023,0.641073873,0.011910096,CLAS omega
2.495,0.75,-0.496473805,2.361,0.035,1.222597266,0.018124059,CLAS omega
2.495,0.85,-0.303360336,6.246,0.085,3.234367862,0.044015573,CLAS omega
2.495,0.92,-0.168180907,11.43,0.375,5.918799979,0.194186351,CLAS omega
2.505,0.55,-0.893727752,0.7804,0.0182,0.398923299,0.009303439,CLAS omega
2.505,0.65,-0.698101174,1.157,0.022,0.591432928,0.011245916,CLAS omega
2.505,0.75,-0.502474596,2.335,0.036,1.193600594,0.018402407,CLAS omega
2.505,0.85,-0.306848017,5.676,0.08,2.901446239,0.040894239,CLAS omega
2.505,0.92,-0.169909413,18.4,0.708,9.405674913,0.361914013,CLAS omega
2.515,0.55,-0.904804808,0.7251,0.0169,0.365936568,0.008528931,CLAS omega
2.515,0.65,-0.706655712,1.119,0.021,0.564726271,0.01059808,CLAS omega
2.515,0.75,-0.508506616,2.319,0.034,1.170330851,0.017158796,CLAS omega
2.515,0.85,-0.310357521,6.276,0.086,3.167311955,0.043401662,CLAS omega
2.515,0.92,-0.171653154,16.09,0.508,8.120148081,0.256372606,CLAS omega
2.525,0.55,-0.915931751,0.7586,0.0191,0.378012779,0.00951759,CLAS omega
2.525,0.65,-0.715250705,1.105,0.023,0.550624995,0.011460973,CLAS omega
2.525,0.75,-0.514569659,2.197,0.038,1.094772049,0.01893552,CLAS omega
2.525,0.85,-0.313888613,6.263,0.099,3.120872709,0.049332013,CLAS omega
2.525,0.92,-0.173411881,21.28,0.915,10.60389131,0.455947394,CLAS omega
2.535,0.55,-0.927108428,0.6623,0.0164,0.32589903,0.008069974,CLAS omega
2.535,0.65,-0.723885976,1.01,0.021,0.49699233,0.010333504,CLAS omega
2.535,0.75,-0.520663524,2.079,0.033,1.023016885,0.016238363,CLAS omega
2.535,0.85,-0.317441071,5.317,0.083,2.616344771,0.040841944,CLAS omega
2.535,0.92,-0.175185355,10.11,0.353,4.974844016,0.17370128,CLAS omega
2.545,0.55,-0.93833469,0.6773,0.0172,0.329148574,0.008358712,CLAS omega
2.545,0.65,-0.732561355,1.018,0.021,0.494719102,0.010205404,CLAS omega
2.545,0.75,-0.526788019,2.199,0.038,1.068651578,0.018466921,CLAS omega
2.545,0.85,-0.321014683,5.866,0.093,2.850709484,0.04519536,CLAS omega
2.545,0.92,-0.176973348,12.02,0.391,5.841378793,0.190014901,CLAS omega
2.555,0.55,-0.949610397,0.6461,0.017,0.310127427,0.008159985,CLAS omega
2.555,0.65,-0.741276679,0.9265,0.0207,0.444719179,0.009935982,CLAS omega
2.555,0.75,-0.532942961,1.977,0.035,0.948958248,0.016799969,CLAS omega
2.555,0.85,-0.324609243,5.921,0.098,2.842074753,0.047039913,CLAS omega
2.555,0.92,-0.178775641,14.17,0.522,6.801587442,0.250559537,CLAS omega
2.565,0.55,-0.960935413,0.5923,0.0157,0.280839183,0.007444159,CLAS omega
2.565,0.65,-0.750031794,0.9558,0.021,0.453192793,0.009957155,CLAS omega
